symbol,price,units
MON100,330.8900146484375,678.0
MASPTOP50,82.2699966430664,2433.0
HEALTHIETF,158.42999267578125,1039.0
METALIETF,12.989999771118164,12680.0
MODEFENCE,98.37999725341797,1416.0
MAKEINDIA,157.36000061035156,885.0
MNC,32.0099983215332,4354.0
MOSMALL250,16.760000228881836,7862.0
MIDCAPIETF,22.690000534057617,5807.0
GOLDIETF,128.3699951171875,1026.0
GROWWPOWER,12.069999694824219,10497.0
COMMOIETF,101.05999755859375,1128.0
MOREALTY,74.9000015258789,1421.0
TNIDETF,79.77999877929688,1334.0
SILVERIETF,238.39999389648438,435.0
CHEMICAL,28.56999969482422,875.0
PSUBNKIETF,83.27999877929688,300.0
EVINDIA,30.149999618530273,829.0
ECAPINSURE,23.209999084472656,1077.0
INFRAIETF,93.58000183105469,267.0
MONIFTY500,22.68000030517578,1102.0
FINIETF,30.290000915527344,825.0
OILIETF,11.109999656677246,2250.0
CONSUMIETF,114.27999877929688,218.0
NIFTYIETF,261.20001220703125,95.0
FMCGIETF,51.470001220703125,485.0
PVTBANIETF,26.329999923706055,949.0
ITIETF,31.790000915527344,786.0
AUTOIETF,26.489999771118164,943.0
CPSEETF,100.13999938964844,249.0
